epoch,step,train_acc,train_loss
0,49,0.0859375,2.3304057121276855
0,99,0.15625,2.175753593444824
0,149,0.2109375,2.127556324005127
0,199,0.21875,2.020005702972412
0,249,0.296875,1.9267525672912598
0,299,0.28125,1.9513236284255981
0,349,0.421875,1.7021112442016602
1,399,0.28125,1.9075841903686523
1,449,0.328125,1.8370883464813232
1,499,0.3828125,1.7913920879364014
1,549,0.3203125,1.9331939220428467
1,599,0.375,1.8425989151000977
1,649,0.34375,1.8500759601593018
1,699,0.3828125,1.7254036664962769
1,749,0.328125,1.7696452140808105
2,799,0.34375,1.8570835590362549
2,849,0.359375,1.804774284362793
2,899,0.4296875,1.6839723587036133
2,949,0.34375,1.7644388675689697
2,999,0.3203125,1.762533187866211
2,1049,0.4375,1.6404255628585815
2,1099,0.4140625,1.6339223384857178
2,1149,0.3359375,1.6790416240692139
3,1199,0.4140625,1.7301595211029053
3,1249,0.3125,1.8270726203918457
3,1299,0.359375,1.7649023532867432
3,1349,0.375,1.739781379699707
3,1399,0.375,1.7512743473052979
3,1449,0.3203125,1.7931815385818481
3,1499,0.3671875,1.6976690292358398
3,1549,0.40625,1.6381921768188477
4,1599,0.40625,1.639374852180481
4,1649,0.4375,1.6011075973510742
