epoch,step,train_acc,train_loss
0,49,0.125,2.3177242279052734
0,99,0.1484375,2.2805776596069336
0,149,0.171875,2.180269479751587
0,199,0.2734375,2.0194597244262695
0,249,0.25,1.9816548824310303
0,299,0.25,2.048121929168701
0,349,0.3359375,1.9588956832885742
1,399,0.34375,1.7972757816314697
1,449,0.3203125,1.791038155555725
1,499,0.3671875,1.8463407754898071
1,549,0.3359375,1.8170013427734375
1,599,0.3203125,1.8430365324020386
1,649,0.3203125,1.8998966217041016
1,699,0.25,1.8216065168380737
1,749,0.4375,1.6660279035568237
2,799,0.4140625,1.705265760421753
2,849,0.34375,1.7724745273590088
2,899,0.390625,1.8152389526367188
2,949,0.3515625,1.7767375707626343
2,999,0.453125,1.6004533767700195
2,1049,0.4375,1.6966500282287598
2,1099,0.3359375,1.8171865940093994
2,1149,0.421875,1.6805992126464844
3,1199,0.3203125,1.812751293182373
3,1249,0.3515625,1.7480422258377075
3,1299,0.296875,1.8288275003433228
3,1349,0.3671875,1.7154278755187988
3,1399,0.4296875,1.587519645690918
3,1449,0.3359375,1.7400486469268799
3,1499,0.3671875,1.7030384540557861
3,1549,0.3359375,1.8984371423721313
4,1599,0.3359375,1.7213352918624878
4,1649,0.3828125,1.6616384983062744
4,1699,0.3828125,1.7785530090332031
4,1749,0.4296875,1.6918246746063232
4,1799,0.3828125,1.6946589946746826
4,1849,0.3203125,1.6871764659881592
4,1899,0.3359375,1.8074700832366943
4,1949,0.3203125,1.8626080751419067
5,1999,0.3671875,1.735754370689392
5,2049,0.375,1.7231413125991821
5,2099,0.390625,1.5993399620056152
5,2149,0.3515625,1.741615891456604
5,2199,0.3359375,1.7300746440887451
5,2249,0.4453125,1.61676025390625
5,2299,0.3671875,1.6239433288574219
6,2349,0.4609375,1.5217506885528564
6,2399,0.4296875,1.5921943187713623
6,2449,0.359375,1.6846463680267334
6,2499,0.390625,1.6681122779846191
6,2549,0.4296875,1.5403566360473633
6,2599,0.3828125,1.648499608039856
6,2649,0.46875,1.5598204135894775
6,2699,0.3359375,1.5222944021224976
7,2749,0.328125,1.6660354137420654
7,2799,0.3671875,1.6983063220977783
7,2849,0.375,1.7945870161056519
7,2899,0.328125,1.8682430982589722
7,2949,0.4140625,1.5807850360870361
7,2999,0.2890625,1.8310006856918335
7,3049,0.3359375,1.8369535207748413
7,3099,0.3984375,1.6973884105682373
8,3149,0.3828125,1.6837033033370972
8,3199,0.3984375,1.641871452331543
8,3249,0.2734375,1.8915807008743286
8,3299,0.3671875,1.7341227531433105
8,3349,0.3125,1.7490578889846802
8,3399,0.375,1.6847561597824097
8,3449,0.3515625,1.6251188516616821
8,3499,0.390625,1.6664302349090576
9,3549,0.390625,1.6672661304473877
9,3599,0.4296875,1.5642284154891968
9,3649,0.390625,1.6709120273590088
9,3699,0.375,1.7022240161895752
9,3749,0.46875,1.6670031547546387
9,3799,0.3671875,1.7874361276626587
9,3849,0.4609375,1.5007987022399902
9,3899,0.359375,1.6596394777297974
